start, end, dbtime1, dbtime2, dbtime3, dbtime4, dbtime5
1643315455009, 1643315467241, 1477, 0, 252, 8305, 287
1643315455799, 1643315469356, 738, 0, 330, 6757, 3877
1643315456603, 1643315466950, 3212, 0, 212, 5015, 182
1643315457410, 1643315467040, 2006, 0, 148, 5764, 89
1643315458200, 1643315467041, 2442, 0, 545, 3911, 89
1643315459024, 1643315464023, 1187, 0, 316, 1493, 68
1643315459805, 1643315478886, 3080, 0, 470, 10217, 3482
1643315460619, 1643315474154, 2270, 0, 391, 8877, 124
1643315461412, 1643315473914, 461, 0, 155, 6517, 3437
1643315462215, 1643315473218, 530, 0, 204, 5845, 2741
1643315463018, 1643315477663, 1399, 0, 602, 10878, 30
1643315463814, 1643315474089, 635, 0, 974, 6721, 59
1643315465110, 1643315483595, 3582, 0, 277, 12833, 50
1643315465417, 1643315485751, 3274, 0, 233, 11832, 3181
1643315466210, 1643315483954, 3727, 0, 402, 11142, 626
1643315467026, 1643315477662, 460, 0, 364, 7893, 28
1643315467832, 1643315477633, 429, 0, 236, 7049, 342
1643315468634, 1643315485634, 704, 0, 152, 11354, 3098
1643315469422, 1643315483594, 549, 0, 463, 11312, 50
1643315470233, 1643315483494, 4344, 0, 527, 6381, 126
1643315471027, 1643315483495, 3546, 0, 524, 6452, 125
1643315471833, 1643315483595, 4051, 0, 190, 5583, 48
1643315472636, 1643315483495, 1865, 0, 268, 6750, 125
1643315473420, 1643315483495, 1061, 0, 270, 6762, 125
1643315474238, 1643315485178, 5227, 0, 679, 3167, 12
1643315475051, 1643315485157, 4341, 0, 220, 3636, 14
1643315475838, 1643315486111, 3627, 0, 587, 4113, 76
1643315476635, 1643315487561, 2775, 0, 205, 6010, 40
1643315477440, 1643315483496, 573, 0, 185, 3116, 124
1643315478237, 1643315485753, 298, 0, 336, 4907, 59
1643315479035, 1643315487532, 2405, 0, 711, 3495, 17
1643315479832, 1643315485175, 680, 0, 1409, 1250, 10
1643315480636, 1643315487532, 3203, 0, 184, 1637, 16
1643315481434, 1643315487516, 2404, 0, 522, 1284, 34
1643315482238, 1643315490566, 3564, 0, 262, 1513, 1046
